key_mlbam,name
596133,luke weaver
678394,brayan bello
663432,tanner rainey
681402,gus varland
678821,luis peralta
642180,tyler wade
691799,grant taylor
676534,calvin faucher
676282,joey cantillo
607192,tyler glasnow
596271,casey lawrence
676760,ron marinaccio
656986,bennett sousa
675848,juan mejia
622554,seranthony domínguez
642547,freddy peralta
678606,jose ferrer
695418,brad lord
663773,bryan hoeing
669212,eli morgan
623149,paul sewald
686752,ryan pepiot
676879,aaron ashby
605483,blake snell
657044,ryan thompson
669060,bryse wilson
689147,orion kerkering
685107,anthony veneziano
664141,jt brubaker
670102,bowden francis
681343,shane smith
686747,joe la sorsa
645444,josé herrera
681432,luke little
672282,reid detmers
664126,pete fairbanks
802419,tom harrington
650489,willi castro
690829,ben joyce
682120,tim herrin
669199,lake bachar
621366,ryan borucki
621107,zach eflin
676969,brett de geus
663485,cole sands
669020,ryan rolison
663372,ryan feltner
608665,kendall graveman
666661,juan morillo
669308,sean reynolds
573009,joe mantiply
642215,weston wilson
669724,brenan hanifee
681006,josh simpson
608717,chris stratton
677952,braxton ashcraft
669717,will wilson
668390,cole winn
656257,jeff brigham
607481,aaron bummer
667755,josé soriano
622761,jorge mateo
607536,kyle freeland
667463,john king
676051,codi heuer
594902,ben lively
642207,devin williams
700187,troy taylor
656420,j. p. feyereisen
672391,kaleb ort
663158,robert suarez
677955,jaden hill
691594,javier sanoja
702352,spencer bivens
676701,alan trejo
518886,craig kimbrel
681799,ethan roberts
666374,matt brash
600917,josé leclerc
656731,tylor megill
700241,michael mcgreevy
669193,jack little
642016,daniel robert
642232,ryan yarbrough
519151,ryan pressly
656641,jacob latz
656820,nicholas padilla
689254,mason fluharty
691094,randy wynne
693312,kyle nicolas
665795,edward cabrera
622786,jesús tinoco
656818,connor overton
665645,kervin castro
680573,simeon woods richardson
663321,nick hernandez
605138,wes benjamin
681857,reese olson
489446,kirby yates
647315,zach pop
661395,jhoan durán
687396,brent headrick
641755,tyler kinley
676680,tom cosgrove
676679,luis vázquez
664192,joey lucchesi
674944,sean guenther
608372,tomoyuki sugano
806185,hayden birdsong
668716,noah murdock
622491,luis castillo
647336,michael soroka
664875,justin lawrence
669459,kyle nelson
646242,jhonathan díaz
643410,mark leiter
669395,dylan coleman
650671,josé quijada
682610,roddery muñoz
694851,andrew hoffmann
595345,steven okert
534910,jesse hahn
607067,colin rea
684974,craig yoho
666142,cole ragans
686654,ty adcock
621199,matthew bowman
673965,caleb freeman
656849,david peterson
571927,steven matz
677976,randy dobnak
691441,cristian mena
656848,michael petersen
669622,anthony bender
687765,mitch spence
640454,matt krook
642048,tayler saucedo
641343,jake bauers
681146,jonah bride
642121,cole sulser
666200,jesús luzardo
676440,tanner bibee
641302,tyler alexander
592836,taijuan walker
621111,walker buehler
650895,diego castillo
669449,jake palisch
605130,scott barlow
656240,scott blewett
686826,bryce jarvis
656786,parker mushinski
690382,michael darrell-hicks
573186,marcus stroman
666120,ian anderson
695549,jackson jobe
666974,yennier cano
502043,kyle gibson
660844,leo rivas
682274,yaramil hiraldo
694361,will klein
642701,dennis santana
669721,davis daniel
677865,justin bruihl
700270,yilber díaz
678226,daysbel hernández
669062,erik miller
605447,jordan romano
657649,jared koenig
596142,gary sánchez
690928,hunter dobbins
673380,dedniel núñez
623211,huascar brazobán
543135,nathan eovaldi
680880,grant holman
680885,spencer schwellenbach
641816,tyler mahle
594798,jacob degrom
621512,tomás nido
663671,nic enright
676477,garrett whitlock
674444,steven cruz
543294,kyle hendricks
650893,génesis cabrera
572955,pierce johnson
670174,josh winckowski
669022,mackenzie gore
571945,miles mikolas
688297,chris roycroft
518397,scott alexander
676475,alec burleson
677161,zack kelly
669111,john mcmillon
668820,max kranick
656945,tanner scott
700363,aj smith-shawver
682171,penn murfee
668933,graham ashcraft
641927,bailey ober
642520,gerson garabito
592791,jameson taillon
663399,brandon waddell
669920,jason alexander
677960,ryan weathers
657514,brennan bernardino
663436,davis martin
686563,jonathan cannon
662253,andrés muñoz
687287,patrick monteverde
621381,matt strahm
657024,erik swanson
594580,sam moll
664744,jose espada
657746,joe ryan
687863,porter hodge
687074,tyler owens
657277,logan webb
663947,tyler holton
595928,john curtiss
472610,luis garcía
687847,marc church
592866,trevor williams
668881,hunter greene
606160,rafael montero
672782,yoendrys gómez
694738,landen roupp
681676,ryan fernandez
676508,ben casparius
663941,tristan beck
595897,nick burdi
683769,hunter gaddis
643338,chad green
527048,martín pérez
672582,angel zerpa
664948,anthony misiewicz
668970,gavin hollowell
669713,hayden wesneski
699134,bradgley rodriguez
605452,joe ross
543243,sonny gray
681892,kody funderburk
686613,hunter brown
680891,jack neely
666157,nick lodolo
608566,germán márquez
656457,tyler gilbert
694646,chayce mcdermott
650633,mike king
592332,kevin gausman
694037,daniel palencia
669438,mason englert
676724,jared young
640462,a. j. puk
701581,david festa
676070,jacob amaya
669711,greg weissert
657240,julian merryweather
687064,brandon young
671162,connor thomas
808967,yoshinobu yamamoto
687424,anthony maldonado
656794,sean newcomb
694350,zach brzykcy
656302,dylan cease
572383,brian moran
519242,chris sale
621383,tanner banks
641745,brad keller
669432,trevor rogers
672335,cionel pérez
664076,garrett cleavinger
676664,jp sears
656464,kevin ginkel
696147,sam bachman
678495,randy rodríguez
656550,grant holmes
601713,nick pivetta
676106,emerson hancock
665625,elvis peguero
801403,chase dollander
675916,james karinchak
614179,josé ruiz
679358,eric orze
621016,josé cuas
592454,tommy kahnle
663804,jackson kowar
702070,noah cameron
543056,danny coulombe
445276,kenley jansen
676755,isaac mattson
683021,michael stefanic
645261,sandy alcántara
800049,adam mazur
592826,vince velasquez
665665,reiver sanmartin
680689,lyon richardson
677020,josh walker
669854,ronel blanco
642152,lou trivino
686218,emmet sheehan
641540,dane dunning
664991,grant wolfram
681517,kyle leahy
681347,mike burrows
669276,dylan lee
694335,matt svanson
680862,willie maciver
678020,seth halvorsen
640451,hunter harvey
672710,roansy contreras
669084,dl hall
657571,caleb ferguson
554430,zack wheeler
674370,osvaldo bido
595978,austin hedges
669461,matthew liberatore
656896,emmanuel rivera
688158,david morgan
623437,justin topa
548389,ross stripling
656354,austin davis
455119,chris martin
666808,camilo doval
623433,nick anderson
647351,abraham toro
672851,joan adon
675989,cody bolton
702795,ryan loutos
689958,andrew walters
800311,didier fuentes
687377,orlando ribalta
592773,ryne stanek
608379,michael wacha
669704,kade strowd
681882,colin selby
690986,kyle harrison
458677,justin wilson
680742,jonathan bowlan
621244,josé berríos
663855,jordan hicks
608371,lucas sims
605155,colten brewer
608331,max fried
572143,burch smith
671922,cade smith
668964,tobias myers
664129,geoff hartlieb
676962,ben brown
669160,dustin may
476594,robert stock
656186,dan altavilla
664199,taylor clarke
701542,will warren
690916,richard fitts
660825,eduard bazardo
663460,kris bubic
661527,seth martinez
694918,blade tidwell
605488,jeffrey springs
518489,ryan brasier
615698,cal quantrill
687830,sawyer gipson-long
663967,césar salazar
666171,ryan zeferjahn
672456,keider montero
672841,carlos vargas
605135,chris bassitt
450203,charlie morton
666659,sauryn lao
673820,robinson piña
622663,luis severino
683409,angel chivilli
641656,ian hamilton
663554,casey mize
684320,yariel rodríguez
547973,aroldis chapman
676083,janson junk
676206,freddy tarnok
676714,brandon hughes
694477,chad patrick
676092,collin snider
622253,dillon tate
678215,luarbert arias
592155,cam booser
623167,chris flexen
686993,justin sterner
674285,eduardo salazar
670059,colin holderman
663893,brendon little
606965,chris devenski
692230,carlos rodriguez
670970,adrián morejón
