player_id,First Pitch Total,First Pitch In-Play #,First Pitch Ball #,First Pitch Called Strike #,First Pitch Swinging Strike #,First Pitch Foul #,First Pitch Hit #,First Pitch xBA,First Pitch In-Play %,First Pitch Ball %,First Pitch Strike %,key_mlbam,player_name,Team
592094,175,11,70,48,25,15,2,0.179,0.063,0.4,0.503,592094.0,jason adam,CIN
592155,113,15,44,34,5,9,6,0.45,0.133,0.389,0.425,592155.0,cam booser,CWS
592332,375,45,111,110,32,66,14,0.277,0.12,0.296,0.555,592332.0,kevin gausman,CLE
592426,121,22,38,35,10,10,4,0.259,0.182,0.314,0.455,592426.0,luke jackson,TEX
592454,133,15,52,39,7,13,2,0.183,0.113,0.391,0.444,592454.0,tommy kahnle,DET
592662,400,39,156,109,44,47,9,0.22,0.098,0.39,0.5,592662.0,robbie ray,CWS
592773,123,14,43,25,11,27,5,0.402,0.114,0.35,0.512,592773.0,ryne stanek,NYM
592779,99,13,34,25,11,14,4,0.236,0.131,0.343,0.505,592779.0,brock stewart,DET
592791,389,57,121,131,28,46,20,0.338,0.147,0.311,0.527,592791.0,jameson taillon,HOU
592836,230,23,74,83,10,33,3,0.277,0.1,0.322,0.548,592836.0,taijuan walker,ATL
592866,354,44,109,134,17,42,15,0.381,0.124,0.308,0.545,592866.0,trevor williams,SD
593423,40,3,11,10,6,6,3,0.78,0.075,0.275,0.55,593423.0,frankie montas,PIT
593576,68,6,27,15,7,7,1,0.303,0.088,0.397,0.426,593576.0,héctor neris,LAA
593958,327,42,133,79,24,38,20,0.313,0.128,0.407,0.431,593958.0,eduardo rodríguez,AZ
593974,160,27,47,47,17,18,6,0.395,0.169,0.294,0.512,593974.0,wandy peralta,PHI
594580,12,0,7,3,1,1,0,,0.0,0.583,0.417,594580.0,sam moll,MIL
594798,363,47,125,102,40,47,12,0.334,0.129,0.344,0.521,594798.0,jacob degrom,BAL
594902,179,15,70,59,5,28,3,0.261,0.084,0.391,0.514,594902.0,ben lively,CLE
595014,32,3,13,11,2,3,0,0.083,0.094,0.406,0.5,595014.0,blake treinen,LAD
595345,135,11,52,35,16,18,2,0.199,0.081,0.385,0.511,595345.0,steven okert,HOU
595897,21,3,9,7,0,2,2,0.411,0.143,0.429,0.429,595897.0,nick burdi,BOS
595928,7,3,1,1,0,2,0,0.114,0.429,0.143,0.429,595928.0,john curtiss,AZ
595978,6,0,1,5,0,0,0,,0.0,0.167,0.833,595978.0,austin hedges,CLE
596001,155,20,57,56,7,11,8,0.388,0.129,0.368,0.477,596001.0,jakob junis,CLE
596112,4,0,0,2,2,0,0,,0.0,0.0,1.0,596112.0,robert stephenson,CLE
596133,109,16,39,21,10,19,4,0.358,0.147,0.358,0.459,596133.0,luke weaver,NYY
596142,7,1,4,1,0,1,0,0.437,0.143,0.571,0.286,596142.0,gary sánchez,BAL
596271,80,10,29,27,5,7,6,0.443,0.125,0.362,0.488,596271.0,casey lawrence,CWS
596295,63,6,22,15,3,13,4,0.576,0.095,0.349,0.492,596295.0,austin gomber,COL
600917,47,2,21,7,6,9,0,0.098,0.043,0.447,0.468,600917.0,josé leclerc,ATH
601713,363,44,126,111,28,39,18,0.4,0.121,0.347,0.49,601713.0,nick pivetta,SD
605130,152,8,64,66,6,6,0,0.233,0.053,0.421,0.513,605130.0,scott barlow,CIN
605135,411,52,154,117,27,49,19,0.305,0.127,0.375,0.47,605135.0,chris bassitt,BOS
605154,93,8,24,38,9,14,3,0.303,0.086,0.258,0.656,605154.0,john brebbia,DET
605177,55,5,23,15,3,5,1,0.241,0.091,0.418,0.418,605177.0,andrew chafin,WSH
605182,31,6,15,4,3,2,1,0.245,0.194,0.484,0.29,605182.0,mike clevinger,CWS
605218,13,1,5,5,1,1,0,0.117,0.077,0.385,0.538,605218.0,carl edwards,MIN
605242,23,3,6,7,1,6,1,0.383,0.13,0.261,0.609,605242.0,michael fulmer,STL
605280,369,37,138,128,13,43,14,0.325,0.1,0.374,0.499,605280.0,clay holmes,NYM
605288,173,25,64,54,4,21,7,0.314,0.145,0.37,0.457,605288.0,adrian houser,CWS
605347,106,9,37,37,7,12,3,0.426,0.085,0.349,0.528,605347.0,jorge lópez,SEA
605400,220,22,84,80,12,21,11,0.386,0.1,0.382,0.514,605400.0,aaron nola,PHI
605447,131,15,42,46,10,12,7,0.363,0.115,0.321,0.519,605447.0,jordan romano,ATL
605452,170,27,59,46,15,20,11,0.341,0.159,0.347,0.476,605452.0,joe ross,ATL
