Batter,First Pitch PAs,Successes
tyler fitzgerald,10,6
austin slater,10,4
george springer,10,4
kevin newman,10,4
zach mckinstry,10,4
kyle schwarber,10,4
jazz chisholm,10,4
jo adell,10,4
dylan carlson,10,4
jake rogers,10,4
sean murphy,10,4
austin wells,10,4
yainer diaz,10,4
david fry,10,4
victor scott,10,4
